post_num,day,slot,time_mt,source,pillar,visual,caption
74,37,PM,1:00 PM,Glossary: Andon Cord,G,Text only,"GLOSSARY: Andon Cord

A signal that any operator can pull to stop the process when something is wrong.

The Toyota assembly line was the original. But the principle works in any process: any team member, at any level, can halt the work when they see a defect, a safety issue, or a quality concern.

The cultural test: when someone pulls the cord, what happens? In a Lean culture, the team gathers and solves. In a non-Lean culture, the puller gets reprimanded.

Which culture do you work in?"
75,38,AM,8:00 AM,Glossary: Cause and Effect Analysis,T,Text only,"GLOSSARY: Cause and Effect Analysis

A structured method for identifying the few inputs that drive the most output variation.

The most common tool: the Cause and Effect Matrix (covered in Chapter 6). Inputs in rows, outputs in columns, correlation scores in cells.

The principle is older than the matrix: not all inputs are equal. Twenty percent of them produce eighty percent of the outcome. Find the twenty percent. Stop optimizing the rest."
76,38,PM,1:00 PM,Glossary: Cycle Time vs. TAKT Time,M,Text only,"GLOSSARY: Cycle Time vs. TAKT Time

Cycle time is how long the process actually takes.
TAKT time is how long it should take, given customer demand.

Three states:
- Cycle time < TAKT: overproduction. You're building inventory.
- Cycle time = TAKT: balanced. You're meeting demand exactly.
- Cycle time > TAKT: you can't keep up. Demand is unmet.

Most operations focus on cycle time alone. The TAKT comparison is what reveals whether the cycle time is right."
77,39,AM,8:00 AM,Glossary: DMAIC,T,Text only,"GLOSSARY: DMAIC

The Six Sigma project lifecycle. Five phases:

D - Define the problem and the scope
M - Measure the current state
A - Analyze the root causes
I - Improve the process
C - Control the new state

The seven chapters of Process Kaizen map to DMAIC. The methodology isn't novel — it's the disciplined execution that produces results.

Most teams skip Control. That's why most improvements don't stick."
78,39,PM,1:00 PM,Glossary: FMEA,T,Text only,"GLOSSARY: Failure Modes and Effects Analysis (FMEA)

A structured method for evaluating risk in a process or product.

For each potential failure mode, score three dimensions:
- Severity (impact when it happens)
- Occurrence (how often it happens)
- Detection (how likely we are to catch it before customer impact)

Multiply: Risk Priority Number (RPN). Sort. Act on the highest.

FMEA turns risk from a feeling into a number. Numbers are debatable. Feelings aren't."
79,40,AM,8:00 AM,Glossary: Five Whys,T,Text only,"GLOSSARY: Five Whys

The root cause analysis technique that asks ""why"" five times.

Problem: shipment late.
Why? Truck wasn't loaded on time.
Why? Order wasn't picked on time.
Why? System didn't release the pick list.
Why? Approval was pending.
Why? Approver was unavailable, no backup process.

Root cause: missing backup approver protocol. Five questions to get from symptom to fix.

The technique looks simple. Practicing it is harder than it looks. Most people stop at why-2."
80,40,PM,1:00 PM,Glossary: Just-in-Time,M,Text only,"GLOSSARY: Just-in-Time (JIT)

A production philosophy: make only what is demanded, only when it's demanded.

JIT eliminates inventory, surfaces problems immediately, and aligns supply with actual customer demand rather than forecasts.

Three preconditions for JIT to work:
1. Reliable upstream suppliers
2. Predictable customer demand
3. Capable processes at TAKT

JIT is admired everywhere and implemented well in few places. It requires Lean maturity that takes years to build. Start by reducing batch sizes."
81,41,AM,8:00 AM,Glossary: Kanban,T,Text only,"GLOSSARY: Kanban

A signal — usually a card — that triggers production or replenishment.

The original Toyota Kanban was a paper card that an operator pulled from a parts bin when the bin was empty. The card went back to the supplier, who refilled the bin and returned the card.

Modern Kanban can be a card, a digital signal, an empty bin, a colored light. The form doesn't matter. The principle does: nothing gets produced without a pull signal from downstream."
82,41,PM,1:00 PM,Glossary: Pareto Principle,T,Text only,"GLOSSARY: The Pareto Principle (80/20 Rule)

Roughly 20% of inputs cause 80% of outputs. In any process, the Pareto Principle holds with surprising regularity.

20% of customers generate 80% of revenue.
20% of defects cause 80% of returns.
20% of process steps consume 80% of cycle time.

The Pareto Principle is the conceptual basis for the Cause and Effect Matrix. Find the 20% that matters. Stop spending effort on the 80% that doesn't."
83,42,AM,8:00 AM,Glossary: Poka-Yoke,T,Text only,"GLOSSARY: Poka-Yoke (Mistake Proofing)

Designing the process so a mistake is impossible.

Examples:
- USB-C: works in either orientation. Earlier USB only worked one way and people fumbled.
- A car that won't start unless the brake is depressed.
- A form field that won't accept a date in the past for future appointments.

Poka-Yoke is the highest form of process control. The defect can't occur because the design prevents it. Cheaper than inspection. More reliable than training."
84,42,PM,1:00 PM,Glossary: Pull System,M,Text only,"GLOSSARY: Pull System

A production system where work is initiated only by downstream demand signals.

Push: ""We made it, here it is, deal with it.""
Pull: ""You asked for it, so we made it.""

Pull systems reduce inventory, expose problems immediately, and align production with actual customer demand. They require reliable processes and short cycle times to work.

Most organizations operate on push and call it pull. The test: do you produce anything without a confirmed customer order?"
85,43,AM,8:00 AM,Glossary: SIPOC,T,Text only,"GLOSSARY: SIPOC

Five columns that frame any process:

Suppliers · Inputs · Process · Outputs · Customers

Used at the start of Define (Chapter 4) to establish shared understanding. Takes 45 minutes. Reveals process boundaries, key handoffs, and assumptions the team didn't know they were making.

Most teams skip SIPOC because it looks too simple. Most teams that skip SIPOC end up rebuilding their process map on Day 3 of the event."
86,43,PM,1:00 PM,Glossary: Six Sigma,T,Text only,"GLOSSARY: Six Sigma

A methodology for reducing variation in any process.

The name comes from statistics: six standard deviations between the process mean and the nearest spec limit, which corresponds to 3.4 defects per million opportunities.

In practice, Six Sigma is the DMAIC project methodology, applied to processes where variation drives quality issues. Combined with Lean (which reduces waste), the combined practice is Lean Six Sigma."
87,44,AM,8:00 AM,Glossary: Standard Work,S,Text only,"GLOSSARY: Standard Work

The documented best-known method for completing a task.

Standard Work has three components:
- TAKT time (the customer's required pace)
- Work sequence (the order of operations)
- Standard work-in-process (the minimum WIP)

The point of Standard Work isn't to lock in the current state. It's to make the current state visible — so improvements can be made deliberately, documented, and rolled out across the team.

Without Standard Work, every improvement is private."
88,44,PM,1:00 PM,Glossary: TAKT Time,M,Text only,"GLOSSARY: TAKT Time

The rate at which customer demand must be filled.

TAKT = Available Production Time ÷ Customer Demand

If you have 480 minutes per day and 240 units of demand, TAKT = 2 minutes per unit.

TAKT is the rhythm Lean operations align to. Below TAKT and you overproduce. Above TAKT and you miss demand. Matching TAKT — consistently — is the operational goal."
89,45,AM,8:00 AM,Glossary: Value Stream,T,Text only,"GLOSSARY: Value Stream

The complete sequence of activities required to bring a product or service from order to delivery.

Value Stream Mapping (VSM) is the discipline of mapping this end-to-end, including:
- Process steps
- Inventory and WIP at each step
- Cycle times
- Lag times
- Information flows

A VSM shows the whole system. A process map shows a piece of it. Most improvements happen at the system level — between steps, not within them."
90,45,PM,1:00 PM,Closing — About the Second Edition,F,Text only,"That's the complete methodology from Process Kaizen, second edition.

90 posts. 45 days. From the foundational concepts through every chapter, the appendix, and the core glossary.

This is the playbook I use on every consulting engagement. The methodology has been refined across thousands of events and updated for 2026 in the second edition.

The book is available [link in profile]. If you've found this useful and want to talk about applying it to a specific process in your organization, send me a DM."
